District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
ATTOCK DISTRICT,Female,Rural,10 & ABOVE,76.07%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,15 -  19,52.87%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,20 - 24,81.91%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,25 - 29,90.36%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,30 - 34,92.10%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,35 - 39,92.67%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,40 - 44,93.04%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,45 - 49,93.49%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,50 - 54,93.42%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,55 - 59,92.69%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,60 - 64,91.19%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,65 - 69,88.82%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,70 - 74,84.44%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,75 & ABOVE,78.50%,House Keeping,Attock
ATTOCK DISTRICT,Female,Rural,Between 10-14,16.62%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,10 & ABOVE,66.16%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,15 -  19,30.04%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,20 - 24,62.57%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,25 - 29,80.71%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,30 - 34,86.37%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,35 - 39,87.82%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,40 - 44,87.65%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,45 - 49,88.55%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,50 - 54,89.27%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,55 - 59,89.34%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,60 - 64,89.81%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,65 - 69,88.26%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,70 - 74,81.55%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,75 & ABOVE,76.74%,House Keeping,Attock
ATTOCK DISTRICT,Female,Urban,Between 10-14,10.81%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,10 & ABOVE,10.36%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,15 -  19,5.96%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,20 - 24,8.96%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,25 - 29,9.20%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,30 - 34,9.32%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,35 - 39,9.83%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,40 - 44,10.45%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,45 - 49,12.10%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,50 - 54,13.91%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,55 - 59,15.56%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,60 - 64,19.44%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,65 - 69,22.56%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,70 - 74,25.29%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,75 & ABOVE,28.68%,House Keeping,Attock
ATTOCK DISTRICT,Male,Rural,Between 10-14,2.80%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,10 & ABOVE,3.41%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,15 -  19,2.14%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,20 - 24,2.17%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,25 - 29,2.20%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,30 - 34,2.08%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,35 - 39,1.86%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,40 - 44,1.95%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,45 - 49,2.17%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,50 - 54,3.05%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,55 - 59,5.19%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,60 - 64,10.60%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,65 - 69,16.21%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,70 - 74,19.60%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,75 & ABOVE,22.06%,House Keeping,Attock
ATTOCK DISTRICT,Male,Urban,Between 10-14,1.70%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,10 & ABOVE,58.97%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,15 -  19,40.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,20 - 24,42.86%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,25 - 29,37.50%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,30 - 34,66.67%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,35 - 39,58.33%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,40 - 44,62.50%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,45 - 49,75.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,50 - 54,25.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,55 - 59,57.14%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,60 - 64,71.43%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,65 - 69,100.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,70 - 74,75.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,75 & ABOVE,87.50%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,10 & ABOVE,24.53%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,15 -  19,0.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,20 - 24,8.33%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,25 - 29,20.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,30 - 34,37.50%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,35 - 39,0.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,40 - 44,33.33%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,45 - 49,25.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,50 - 54,#DIV/0!,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,55 - 59,0.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,60 - 64,100.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,65 - 69,#DIV/0!,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,70 - 74,100.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,75 & ABOVE,50.00%,House Keeping,Attock
ATTOCK DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Attock
BAHAWALNAGAR DISTRICT,Female,Rural,10 & ABOVE,76.95%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,15 -  19,65.20%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,20 - 24,84.65%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,25 - 29,90.71%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,30 - 34,91.99%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,35 - 39,92.24%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,40 - 44,92.02%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,45 - 49,92.09%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,50 - 54,91.63%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,55 - 59,90.77%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,60 - 64,88.85%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,65 - 69,84.82%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,70 - 74,80.04%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,75 & ABOVE,73.54%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Rural,Between 10-14,31.54%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,10 & ABOVE,66.40%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,15 -  19,37.73%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,20 - 24,68.42%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,25 - 29,83.62%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,30 - 34,87.81%,House Keeping,Bahawalnagar
BAHAWALNAGAR DISTRICT,Female,Urban,35 - 39,89.65%,House Keeping,Bahawalnagar
